Title,Seasons,Episodes,Country,Year,Original channel,Technique
Agent Elvis,TBA,TBA,United States,2023,Netflix,Traditional
Annie & Carola,1,52,Spain,2023,RTVE,Traditional
Batman: Caped Crusader,TBA,TBA,United States,2023,TBA,Traditional
Bossy Bear,TBA,TBA,United States,2023,Nickelodeon,Flash
Caillou,TBA,TBA,Canada,2023,Peacock,CGI
Clone High,TBA,TBA,United States,2023,HBO Max,Traditional
Cocomelon Lane,TBA,TBA,United States,2023,Netflix,CGI
Dew Drop Diaries,TBA,TBA,United States,2023,Netflix,Flash
Digman!,TBA,TBA,United States,2023,Comedy Central,Flash
Dino Pops,TBA,TBA,United States,2023,Peacock,CGI
Dora the Explorer,TBA,TBA,United States,2023,Paramount+,CGI
Duffy and Friends,TBA,TBA,United States,2023,Disney+,Stop-Motion
Eva the Owlet,TBA,TBA,United States,2023,Apple TV+,CGI
Exploding Kittens,TBA,TBA,United States,2023,Netflix,CGI
Frog and Toad,TBA,TBA,United States,2023,Apple TV+,Traditional
Gremlins: Secrets of the Mogwai,1,6,United States,2023,Cartoon Network / HBO Max,CGI
Grimsburg,TBA,TBA,United States,2023,Fox,Flash
Hailey's On It!,TBA,TBA,United States,2023,Disney Channel,Traditional
Hazbin Hotel,TBA,TBA,United States,2023,TBA,Traditional
HexVet,TBA,TBA,United States,2023,Nickelodeon,CGI/Traditional
Iwájú,TBA,TBA,United States,2023,Disney+,CGI
Jessica's Big Little World,TBA,TBA,United States,2023,Cartoonito,Traditional
Karate Sheep,1,13,France,2023–present,Netflix,CGI
Kiff,TBA,TBA,United States,2023,Disney Channel,Traditional
Kiya and the Kimoja Heroes,TBA,TBA,United States,2023,Disney Junior,CGI
Koala Man,1,8,United States,2023–present,Hulu,Flash
Krapopolis,TBA,TBA,United States,2023,Fox,Flash
Leela's Island,TBA,TBA,Canada,2023,Treehouse TV,CGI
Lil' Stompers,TBA,TBA,United States,2023,Peacock,CGI
Little Baby Bum: Music Time,TBA,TBA,United States,2023,Netflix,CGI
Mashopolis,TBA,TBA,United States,2023,PBS Kids,Flash
Max & the Midknights,TBA,TBA,United States,2023,Nickelodeon,Traditional
Mech Cadets,TBA,TBA,United States,2023,Netflix,Traditional
Moon Girl and Devil Dinosaur,1,6,United States,2023–present,Disney Channel,Traditional
My Adventures with Superman,TBA,TBA,United States,2023,Cartoon Network,Traditional
My Dad the Bounty Hunter,1,10,United States,2023–presesnt,Netflix,CGI
Not Quite Narwhal,TBA,TBA,United States,2023,Netflix,CGI
Poor Devil,1,8,Spain,2023–present,HBO Max,Flash
Primos,TBA,TBA,United States,2023,Disney Channel,Stop-Motion
Princess Power,1,14,United States,2023–presesnt,Netflix,CGI
Pupstruction,TBA,TBA,United States,2023,Disney Junior,CGI
Riley Rocket,TBA,TBA,Canada,2023,TVOKids,Flash
"Rock, Paper, Scissors",1,10,United States,2023,Nickelodeon,Flash
Rubble & Crew,1,5,United States,2023–presesnt,Nickelodeon,CGI
Scavengers Reign,TBA,TBA,United States,2023,HBO Max,Traditional
Shape Island,1,8,United States,2023–present,Apple TV+,Stop-Motion
Silly Sundays,TBA,TBA,United States,2023,Cartoonito,Flash
Star Wars: Young Jedi Adventures,TBA,TBA,United States,2023,Disney+ / Disney Junior,CGI
Super Turbo Story Time,TBA,TBA,United States,2023,Motortrend+,Traditional
SuperKitties,1,12,United States,2023–present,Disney Junior,CGI
Team Mekbots Animal Rescue,TBA,TBA,United States,2023,Peacock,CGI
Unlimited Squirrels!,1,26,United States,2023,Cartoon Network / HBO Max,Flash
Velma,1,10,United States,2023–present,HBO Max,Traditional
Win or Lose,TBA,TBA,United States,2023,Disney+,CGI
Work It Out Wombats!,1,14,"United States, Canada",2023–present,PBS Kids,Flash
X-Men '97,TBA,TBA,United States,2023,Disney+,Traditional
Young Love,TBA,TBA,United States,2023,HBO Max,Traditional